smiles,D
CC(C)(C)OC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1,-5.932
CC(C)(C)OC(=O)N1CCC(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OCC(Cc3ccccc3)NC(=O)C2)CC1,-7.097
CC(C)(CNC(=O)CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1)c1ccc(F)cc1,-5.025
CC(C)(CNC(=O)CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1)c1cccc(F)c1,-5.967
CC(C)(CNC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1)c1ccc(F)cc1,-7.046
CC(C)(CNC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1)c1cccc(F)c1,-6.62
CC(C)(CNC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1)c1ccccc1F,-6.553
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,-4.73
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N1C,-5.45
CC(C)C(=O)N1CCC2(CC1)CC(O)C(O)Cc1ccccc1OCC(=O)N(C)C2,-7.222
CC(C)C(=O)N1CCCCCCCNCc2cc(-c3ccc(F)cc3F)ccc21,-5.638
CC(C)C(=O)N1CCCCCCOc2ccccc2Oc2ncccc2C1,-5.519
CC(C)C(CO)NC(=O)c1ccc2c(c1)Cc1cccc(c1)CN(C(C)C)CCOCCO2,-5.717
CC(C)C(CO)NC(=O)c1ccc2c(c1)Cc1cccc(c1)CN(C1CCOCC1)CCOCCO2,-5.939
CC(C)C(CO)NC(=O)c1cccc2c1CN(Cc1ccccc1)CC(=O)NCCCCCO2,-6.201
CC(C)C(CO)NC(=O)CCc1ccc2c(c1)CN(C(C)C)CC(=O)NCCCCCO2,-5.939
CC(C)C(CO)NC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1,-4.89
CC(C)C(NC(=O)CCc1ccc2c(c1)CN(C(C)C)CC(=O)NCCCCCO2)c1ccc2c(c1)OCCCO2,-5.47
CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)(C)O)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,-5.19
CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)C)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,-5.19
CC(C)C1C(=O)N(C)CCCCN(C(=O)c2cc[nH]n2)CCCCOc2ccc(Cl)cc2C(=O)N1C,-6.638
CC(C)C1C(=O)N(C)CCCCN(C(=O)c2ccc(F)cc2)CCCCOc2ccc(Cl)cc2C(=O)N1C,-5.218
CC(C)C1C(=O)N(C)CCCCN(C(=O)CC2CC2)CCCCOc2ccc(Cl)cc2C(=O)N1C,-5.115
