system	call	action	probe1_defect	probe1_relative_error	probe3_defect	probe3_stderr	probe3_score	probe3_relative_error	full_occupied_defect	independent_probe1_defect	independent_probe1_relative_error	exchange_energy_defect_meV	ace_rank	exx_call_time_s
MgO2	18	reuse	6.686913635037294e-6	0.013775239158295838	6.644834842624123e-6	5.994687920887995e-8	6.764728601041883e-6	0.007395847981679161	6.596051448829247e-6	6.671048198693733e-6	0.011369946163442607	0.10496131168502253	8	0.117596085
MgO2	19	reuse	5.436139496298227e-6	0.009797463668252565	5.354616561224638e-6	4.042868290081429e-8	5.435473927026266e-6	0.005345939683364786	5.3833958708418335e-6	5.558785818248217e-6	0.03257979751337828	0.07385653867548335	8	0.117258983
MgO2	20	reuse	4.921367792367866e-6	0.02119416339620401	4.959558028465112e-6	4.347049828178543e-8	5.046499025028683e-6	0.013598546167344835	5.0279305745087745e-6	4.958792015191499e-6	0.013750897768517846	0.06254755563227136	8	0.116876885
MgO2	21	reuse	4.890192907117639e-6	0.004776953264866277	4.917149672704742e-6	2.3016693753574043e-8	4.9631830602118905e-6	0.0007091277317899657	4.913665256406691e-6	4.925396421536692e-6	0.0023874571257585992	0.05823912640211412	8	0.320837395
MgO2	22	rebuild	4.801415476347487e-6	0.015028761817673831	4.873532642794021e-6	3.820914829656716e-8	4.949950939387155e-6	0.00023451310519211535	4.874675818156942e-6	4.925825551785969e-6	0.010492950821161732	0.05647997698600645	8	0.170412674
MgO2	23	reuse	1.0761328740128628e-6	0.0005150601833192202	1.0808377623815027e-6	4.764975577643199e-9	1.090367713536789e-6	0.0038547208925425874	1.0766874328393986e-6	1.0760217113224773e-6	0.0006183052728363557	0.01544234024433488	8	0.118552093
MgO2	24	reuse	9.283532951261903e-7	0.0047568537343067865	9.438629658388843e-7	8.339526581502122e-9	9.605420190018885e-7	0.011870322103474069	9.327904428274799e-7	9.276020768355447e-7	0.005562198918128055	0.011140910097973914	8	0.117210369
MgO2	25	reuse	9.085220806309595e-7	0.017959471821973164	8.97696408068107e-7	5.634396423886463e-9	9.0896520091588e-7	0.00582977661792752	8.924933710817195e-7	8.860816074149444e-7	0.007184102285268516	0.009574360818405216	8	0.116887442
MgO2	26	reuse	8.530466550757089e-7	0.030867093117172822	8.619883385029549e-7	4.542878038029666e-9	8.710740945790143e-7	0.020708587013536756	8.802163759143165e-7	8.997599436113288e-7	0.022203140309348984	0.008973938437632127	8	0.118589218
MgO2	27	rebuild	8.596633848571053e-7	0.019182627788590798	8.671942572603742e-7	8.755584508791053e-9	8.847054262779563e-7	0.010590415288739592	8.764765074652553e-7	8.692203820207021e-7	0.008278744932408601	0.008726718042745158	8	0.379263241
MgO2	28	reuse	1.8922366616498718e-7	0.0033993108912216473	1.920362833213805e-7	1.4294985411422905e-9	1.948952804036651e-7	0.018313820126367706	1.8858261522715046e-7	1.9272383944990303e-7	0.02195973482372383	0.002480832888253595	8	0.124138086
Si16	3	reuse	0.0025715909056142545	0.00012064643443961014	0.0025719922630191233	4.0300314629810507e-7	0.0025727982693117195	0.00027673884646842314	0.0025712806897670907	0.0025711139619204798	6.484233606794742e-5	40.09772421709558	32	14.284987148
Si16	5	reuse	0.0008805838406094447	0.0003140682627199647	0.0008806595576125004	3.983002044757668e-8	0.0008807392176533956	0.00022811026615285608	0.0008808604909335308	0.0008811377526451739	0.0003147623426147876	21.177731566074065	32	13.220457774
